token_id,sequence_id,region_id,x,y,tier_id,size
2652,,6,190,144,1,50
7862,,6,191,226,1,50
8938,,6,184,239,1,50
11195,,6,176,263,1,50
15149,,7,765,404,1,50
24182,,7,833,491,1,50
32189,,3,847,276,1,50
33909,,3,786,289,1,50
39057,,3,774,324,1,50
40571,,3,856,337,1,50
44574,,1,157,343,1,50
45911,,1,258,355,1,50
54084,,1,274,426,1,50
54862,,1,249,436,1,50
58093,,4,676,344,1,50
66967,,4,691,413,1,50
68764,,4,676,428,1,50
70945,,4,648,446,1,50
71670,,2,574,235,1,50
75326,,2,556,298,1,50
76217,,2,676,305,1,50
80659,,2,517,348,1,50
91034,,5,541,506,1,50
99770,,5,528,574,1,50
99923,,5,575,577,1,50
