token_id,sequence_id,region_id,x,y,tier_id,size
73,0,6,321,103,1,50
1412,0,6,199,124,2,50
1594,0,6,208,126,2,50
2294,0,6,222,136,2,50
3008,0,6,213,151,1,50
3099,0,6,209,153,1,50
3106,0,6,216,153,1,50
3748,0,6,205,167,1,50
4524,0,6,200,182,2,50
5115,0,6,211,193,1,50
6218,0,6,170,207,1,50
6397,0,6,175,209,1,50
6816,0,6,171,214,2,50
7055,0,6,169,217,1,50
7315,0,6,179,220,2,50
7489,0,6,177,222,1,50
7612,0,6,212,223,1,50
8472,0,6,197,233,1,50
8563,0,6,206,234,1,50
8934,0,6,180,239,2,50
9284,0,6,196,243,2,50
9382,0,6,209,244,1,50
9445,0,6,185,245,1,50
10300,0,6,206,254,1,50
10407,0,6,214,255,3,50
10674,0,6,175,258,2,50
10675,0,6,176,258,1,50
10788,0,6,186,259,1,50
11347,0,6,221,264,2,50
11669,0,6,222,267,1,50
11876,0,6,211,269,1,50
12881,0,6,156,279,2,50
13966,0,6,225,290,1,50
14136,0,6,221,293,1,50
14196,0,6,204,295,1,50
14244,0,6,224,297,1,50
14560,0,7,748,394,3,50
14673,0,7,766,396,1,50
14951,0,7,763,401,2,50
15199,0,7,748,405,1,50
15313,0,7,795,406,1,50
15840,0,7,750,415,1,50
15956,0,7,747,417,1,50
16593,0,7,747,427,1,50
16595,0,7,749,427,1,50
16891,0,7,757,431,2,50
16951,0,7,746,432,2,50
17015,0,7,737,433,1,50
17023,0,7,745,433,2,50
17031,0,7,753,433,3,50
17198,0,7,773,435,1,50
17246,0,7,745,436,1,50
18687,0,7,820,451,1,50
18928,0,7,820,453,3,50
20070,0,7,829,461,2,50
21581,0,7,832,473,4,50
21773,0,7,773,475,1,50
22805,0,7,671,483,1,50
22905,0,7,820,483,1,50
23102,0,7,672,485,2,50
23213,0,7,830,485,1,50
23246,0,7,665,486,1,50
23352,0,7,816,486,1,50
23837,0,7,823,489,1,50
23940,0,7,760,490,4,50
24185,0,7,836,491,2,50
24281,0,7,762,492,1,50
24320,0,7,801,492,1,50
24343,0,7,824,492,1,50
24461,0,7,773,493,2,50
24620,0,7,761,494,1,50
24630,0,7,771,494,1,50
24966,0,7,757,496,1,50
25573,0,7,812,499,1,50
25747,0,7,806,500,1,50
26444,0,7,805,504,2,50
27198,0,7,744,509,1,50
27290,0,7,675,510,2,50
27612,0,7,747,512,2,50
28014,0,7,749,517,4,50
28131,0,7,766,519,3,50
28320,0,7,755,524,4,50
28327,0,7,762,524,1,50
28355,0,7,756,525,1,50
28635,0,3,765,227,2,50
28654,0,3,765,228,1,50
28884,0,3,776,236,2,50
30243,0,3,748,260,2,50
30379,0,3,844,261,1,50
30471,0,3,843,262,2,50
30682,0,3,845,264,1,50
31051,0,3,741,268,1,50
31102,0,3,792,268,1,50
31172,0,3,736,269,1,50
31308,0,3,744,270,1,50
31354,0,3,790,270,1,50
31739,0,3,787,273,1,50
31789,0,3,837,273,1,50
31922,0,3,840,274,1,50
32056,0,3,844,275,3,50
32450,0,3,846,278,2,50
33113,0,3,841,283,2,50
33862,0,3,739,289,1,50
33929,0,3,806,289,1,50
34201,0,3,786,291,1,50
35061,0,3,755,297,1,50
35429,0,3,827,299,3,50
35940,0,3,750,303,2,50
37151,0,3,775,311,4,50
38707,0,3,854,321,2,50
38761,0,3,764,322,1,50
39051,0,3,768,324,2,50
39270,0,3,849,325,2,50
39455,0,3,769,327,2,50
39952,0,3,839,331,2,50
40043,0,3,826,332,1,50
40058,0,3,841,332,3,50
40275,0,3,856,334,1,50
41046,0,3,855,342,2,50
41125,0,3,839,343,1,50
41315,0,3,841,345,1,50
41602,0,3,848,348,4,50
41660,0,3,811,349,1,50
41686,0,3,837,349,1,50
41696,0,3,847,349,1,50
42113,0,3,794,354,1,50
43791,0,1,181,333,1,50
44378,0,1,159,341,1,50
44499,0,1,183,342,1,50
44567,0,1,150,343,1,50
44873,0,1,143,346,3,50
44994,0,1,158,347,1,50
45123,0,1,182,348,2,50
45871,0,1,188,355,3,50
45980,0,1,179,356,1,50
45993,0,1,192,356,2,50
46293,0,1,270,358,2,50
46555,0,1,273,360,1,50
46757,0,1,188,362,2,50
47331,0,1,180,366,3,50
48093,0,1,167,371,2,50
48104,0,1,178,371,1,50
49129,0,1,261,377,1,50
51391,0,1,181,394,1,50
51619,0,1,224,396,1,50
51848,0,1,189,399,1,50
52269,0,1,188,404,2,50
52393,0,1,232,405,1,50
52547,0,1,226,407,4,50
52742,0,1,193,410,1,50
53887,0,1,260,424,1,50
53903,0,1,276,424,1,50
54000,0,1,282,425,3,50
54225,0,1,235,428,1,50
54355,0,1,274,429,1,50
54720,0,1,243,434,4,50
54816,0,1,268,435,3,50
54978,0,1,246,438,1,50
54985,0,1,253,438,2,50
55037,0,1,258,439,2,50
55188,0,1,252,443,2,50
55316,0,1,247,446,1,50
55317,0,1,248,446,2,50
55984,0,1,238,460,1,50
56333,0,1,239,466,3,50
56560,0,1,242,471,4,50
58033,0,4,681,343,2,50
58091,0,4,674,344,1,50
58232,0,4,679,346,2,50
58367,0,4,667,348,1,50
58483,0,4,702,349,1,50
59152,0,4,674,356,3,50
59265,0,4,669,357,1,50
59362,0,4,639,358,1,50
59397,0,4,674,358,1,50
59572,0,4,711,359,4,50
59997,0,4,699,362,1,50
60455,0,4,710,365,3,50
61053,0,4,708,369,2,50
61204,0,4,709,370,2,50
61872,0,4,624,375,1,50
62528,0,4,674,379,2,50
62984,0,4,679,382,2,50
64007,0,4,643,389,1,50
66361,0,4,626,408,2,50
66533,0,4,688,409,1,50
66790,0,4,623,412,2,50
66852,0,4,685,412,1,50
66960,0,4,684,413,1,50
67058,0,4,672,414,2,50
67083,0,4,697,414,1,50
67178,0,4,684,415,1,50
67300,0,4,698,416,1,50
67303,0,4,701,416,1,50
67411,0,4,698,417,3,50
67454,0,4,629,418,3,50
67627,0,4,688,419,1,50
67920,0,4,632,422,3,50
67959,0,4,671,422,1,50
67990,0,4,702,422,1,50
68087,0,4,678,423,1,50
68345,0,4,680,425,4,50
68614,0,4,673,427,1,50
68629,0,4,688,427,1,50
69593,0,4,583,435,1,50
70092,0,4,593,439,2,50
70134,0,4,635,439,1,50
70331,0,4,591,441,1,50
70496,0,4,635,442,1,50
71591,0,2,580,231,1,50
71659,0,2,583,234,1,50
73235,0,2,557,276,1,50
73308,0,2,554,277,2,50
73626,0,2,564,281,1,50
73691,0,2,562,282,2,50
74416,0,2,672,290,1,50
74874,0,2,654,294,1,50
75054,0,2,533,296,4,50
75078,0,2,557,296,1,50
75426,0,2,529,299,2,50
75815,0,2,547,302,3,50
76255,0,2,536,306,1,50
76381,0,2,551,307,1,50
76701,0,2,534,310,4,50
76922,0,2,527,312,1,50
77173,0,2,549,314,4,50
77224,0,2,600,314,1,50
77400,0,2,537,316,3,50
77587,0,2,602,317,2,50
77759,0,2,530,319,3,50
78630,0,2,567,326,2,50
78892,0,2,596,328,1,50
79288,0,2,555,332,2,50
79844,0,2,516,338,1,50
80075,0,2,566,340,4,50
80244,0,2,565,342,1,50
80666,0,2,524,348,3,50
80742,0,2,526,349,1,50
80956,0,2,526,352,2,50
81010,0,2,513,353,1,50
81029,0,2,532,353,1,50
81517,0,2,515,361,1,50
81577,0,2,513,362,3,50
83176,0,2,517,415,1,50
83501,0,2,483,422,1,50
83586,0,2,516,423,1,50
83682,0,2,508,425,1,50
84322,0,2,515,436,1,50
84387,0,2,519,437,4,50
84961,0,2,471,447,3,50
85220,0,2,504,451,1,50
85282,0,2,468,453,1,50
85913,0,5,525,465,1,50
86976,0,5,588,475,2,50
87058,0,5,555,476,3,50
87240,0,5,618,477,2,50
87507,0,5,626,479,1,50
87576,0,5,559,480,2,50
87771,0,5,620,481,1,50
89008,0,5,622,490,1,50
89419,0,5,624,493,1,50
89644,0,5,581,495,2,50
90672,0,5,566,503,2,50
90940,0,5,576,505,2,50
91858,0,5,581,512,4,50
92725,0,5,543,519,1,50
92970,0,5,473,521,3,50
94846,0,5,558,533,1,50
95068,0,5,613,534,1,50
95339,0,5,557,536,1,50
96491,0,5,582,544,1,50
96616,0,5,576,545,2,50
96694,0,5,524,546,1,50
96815,0,5,517,547,2,50
96876,0,5,578,547,2,50
97607,0,5,565,553,2,50
98330,0,5,587,559,1,50
98431,0,5,576,560,1,50
98650,0,5,577,562,1,50
98660,0,5,587,562,1,50
99809,0,5,581,574,3,50
99855,0,5,583,575,2,50
3375,1,6,206,159,3,50
4807,1,6,180,188,1,50
5157,1,6,185,194,1,50
5450,1,6,177,198,1,50
5482,1,6,209,198,1,50
5661,1,6,222,200,2,50
5977,1,6,190,204,2,50
6312,1,6,177,208,1,50
6572,1,6,178,211,1,50
6896,1,6,171,215,3,50
7465,1,6,241,221,1,50
7582,1,6,182,223,2,50
7611,1,6,211,223,1,50
7869,1,6,198,226,2,50
8029,1,6,179,228,2,50
8062,1,6,212,228,1,50
8382,1,6,190,232,2,50
8445,1,6,170,233,1,50
8483,1,6,208,233,1,50
8554,1,6,197,234,2,50
8709,1,6,193,236,1,50
8730,1,6,214,236,1,50
8773,1,6,178,237,1,50
8870,1,6,196,238,1,50
9126,1,6,207,241,1,50
9191,1,6,188,242,3,50
10204,1,6,208,253,1,50
10670,1,6,171,258,1,50
11244,1,6,225,263,3,50
11622,1,6,175,267,2,50
12096,1,6,214,271,2,50
12831,1,6,208,278,3,50
13502,1,6,202,285,1,50
13597,1,6,206,286,1,50
13626,1,6,235,286,1,50
13967,1,6,226,290,4,50
13972,1,6,231,290,4,50
14042,1,6,234,291,2,50
14226,1,6,205,296,1,50
14917,1,7,792,400,4,50
15153,1,7,769,404,1,50
15444,1,7,795,408,4,50
15506,1,7,792,409,1,50
15740,1,7,774,413,1,50
16130,1,7,746,420,3,50
16262,1,7,755,422,2,50
16272,1,7,765,422,1,50
17166,1,7,741,435,1,50
17236,1,7,735,436,1,50
17321,1,7,736,437,1,50
17450,1,7,780,438,1,50
20494,1,7,743,465,1,50
21013,1,7,761,469,1,50
21774,1,7,774,475,2,50
21847,1,7,663,476,3,50
22360,1,7,836,479,2,50
22908,1,7,823,483,1,50
23815,1,7,801,489,2,50
24216,1,7,666,492,2,50
24391,1,7,676,493,2,50
24643,1,7,784,494,1,50
24816,1,7,784,495,2,50
24897,1,7,676,496,1,50
24980,1,7,771,496,2,50
25531,1,7,770,499,1,50
25744,1,7,803,500,1,50
27722,1,7,746,513,1,50
28072,1,7,756,518,1,50
28117,1,7,752,519,1,50
28359,1,7,760,525,1,50
28388,1,7,758,526,1,50
28972,1,3,750,239,1,50
29518,1,3,831,249,1,50
30214,1,3,840,259,1,50
30809,1,3,734,266,2,50
30928,1,3,738,267,1,50
31052,1,3,742,268,3,50
31273,1,3,837,269,1,50
31299,1,3,735,270,1,50
31530,1,3,837,271,2,50
31770,1,3,818,273,2,50
32064,1,3,852,275,4,50
32183,1,3,841,276,1,50
32319,1,3,846,277,1,50
33448,1,3,757,286,2,50
33836,1,3,857,288,2,50
34009,1,3,740,290,1,50
34302,1,3,739,292,1,50
35457,1,3,855,299,1,50
36916,1,3,838,309,1,50
38261,1,3,845,318,3,50
38532,1,3,823,320,1,50
38554,1,3,845,320,2,50
38725,1,3,728,322,1,50
38904,1,3,764,323,2,50
38966,1,3,826,323,1,50
38975,1,3,835,323,2,50
39136,1,3,853,324,1,50
39196,1,3,775,325,1,50
39424,1,3,732,327,3,50
39450,1,3,764,327,1,50
39662,1,3,758,329,1,50
39833,1,3,824,330,1,50
39920,1,3,807,331,3,50
40224,1,3,805,334,2,50
40569,1,3,854,337,4,50
40762,1,3,855,339,2,50
40930,1,3,833,341,3,50
41325,1,3,851,345,1,50
42149,1,3,830,354,3,50
44602,1,1,185,343,1,50
44875,1,1,145,346,2,50
45485,1,1,270,351,1,50
45880,1,1,227,355,1,50
46203,1,1,158,358,1,50
46381,1,1,229,359,1,50
46420,1,1,268,359,4,50
46825,1,1,271,362,1,50
46961,1,1,264,363,1,50
47182,1,1,183,365,2,50
47259,1,1,262,365,2,50
47345,1,1,194,366,2,50
47540,1,1,234,367,3,50
47690,1,1,228,368,1,50
48317,1,1,235,372,2,50
48549,1,1,152,374,1,50
48584,1,1,187,374,1,50
48969,1,1,257,376,1,50
49449,1,1,264,379,1,50
50743,1,1,192,388,3,50
51927,1,1,181,400,2,50
52260,1,1,179,404,3,50
52475,1,1,234,406,1,50
53524,1,1,230,420,1,50
53719,1,1,267,422,1,50
53796,1,1,258,423,1,50
53800,1,1,262,423,1,50
53953,1,1,235,425,1,50
53990,1,1,272,425,1,50
54354,1,1,273,429,1,50
54363,1,1,282,429,1,50
54836,1,1,223,436,2,50
54863,1,1,250,436,2,50
54920,1,1,243,437,1,50
54972,1,1,240,438,1,50
55069,1,1,246,440,2,50
55101,1,1,240,441,2,50
55106,1,1,245,441,1,50
55661,1,1,213,454,1,50
56340,1,1,246,466,1,50
57833,1,4,667,340,1,50
58092,1,4,675,344,1,50
58150,1,4,666,345,1,50
58164,1,4,680,345,1,50
58228,1,4,675,346,1,50
58494,1,4,604,350,1,50
58634,1,4,675,351,1,50
58719,1,4,665,352,1,50
58835,1,4,683,353,1,50
58927,1,4,672,354,1,50
59063,1,4,700,355,1,50
59064,1,4,701,355,2,50
59145,1,4,667,356,2,50
59281,1,4,685,357,1,50
59364,1,4,641,358,1,50
59412,1,4,689,358,1,50
59573,1,4,712,359,2,50
60565,1,4,670,366,3,50
60902,1,4,707,368,1,50
60903,1,4,708,368,1,50
61656,1,4,710,373,2,50
62172,1,4,622,377,3,50
63158,1,4,704,383,1,50
63473,1,4,567,386,3,50
63855,1,4,640,388,1,50
63972,1,4,608,389,1,50
64011,1,4,647,389,1,50
64442,1,4,644,392,1,50
64620,1,4,684,393,1,50
64987,1,4,656,396,1,50
65404,1,4,699,399,2,50
66084,1,4,679,405,2,50
66529,1,4,684,409,1,50
66639,1,4,687,410,4,50
66979,1,4,703,413,2,50
67076,1,4,690,414,1,50
67289,1,4,687,416,1,50
67572,1,4,633,419,1,50
67635,1,4,696,419,1,50
67685,1,4,632,420,1,50
67854,1,4,685,421,1,50
67989,1,4,701,422,1,50
68037,1,4,628,423,1,50
68079,1,4,670,423,2,50
68084,1,4,675,423,3,50
68421,1,4,621,426,2,50
69530,1,4,645,434,1,50
70834,1,4,638,445,2,50
71649,1,2,573,234,1,50
73310,1,2,556,277,2,50
73346,1,2,592,277,1,50
73421,1,2,589,278,3,50
73427,1,2,595,278,2,50
74273,1,2,584,289,1,50
75073,1,2,552,296,1,50
75204,1,2,559,297,2,50
75582,1,2,557,300,1,50
75806,1,2,538,302,2,50
76023,1,2,528,304,2,50
76691,1,2,524,310,3,50
76717,1,2,550,310,3,50
76937,1,2,542,312,1,50
77056,1,2,545,313,1,50
77061,1,2,550,313,2,50
77288,1,2,545,315,3,50
77414,1,2,551,316,1,50
78008,1,2,538,321,1,50
78293,1,2,583,323,4,50
78298,1,2,588,323,2,50
79249,1,2,516,332,2,50
79302,1,2,569,332,2,50
79437,1,2,615,333,1,50
79444,1,2,622,333,1,50
79501,1,2,559,334,1,50
79597,1,2,554,335,2,50
79696,1,2,557,336,2,50
79883,1,2,555,338,3,50
79923,1,2,620,338,1,50
80070,1,2,561,340,2,50
80151,1,2,557,341,1,50
80238,1,2,559,342,2,50
80315,1,2,557,343,1,50
80346,1,2,509,344,1,50
80424,1,2,509,345,1,50
80505,1,2,513,346,2,50
80733,1,2,517,349,3,50
83174,1,2,515,415,1,50
83478,1,2,512,421,1,50
83550,1,2,480,423,2,50
84760,1,2,514,443,1,50
84771,1,2,464,444,1,50
84843,1,2,475,445,2,50
85132,1,2,469,450,1,50
85621,1,2,473,462,1,50
85892,1,5,503,465,1,50
86020,1,5,548,466,1,50
86081,1,5,525,467,4,50
86882,1,5,611,474,1,50
86889,1,5,618,474,1,50
86893,1,5,622,474,1,50
86993,1,5,605,475,1,50
87125,1,5,622,476,1,50
88039,1,5,618,483,1,50
88042,1,5,621,483,1,50
88141,1,5,585,484,2,50
88302,1,5,608,485,1,50
88319,1,5,625,485,1,50
88417,1,5,584,486,1,50
89243,1,5,583,492,2,50
90482,1,5,635,501,1,50
91202,1,5,580,507,3,50
92332,1,5,539,516,1,50
92635,1,5,582,518,3,50
93115,1,5,539,522,1,50
93637,1,5,485,526,1,50
93766,1,5,471,527,2,50
93900,1,5,625,527,2,50
94396,1,5,623,530,1,50
95175,1,5,555,535,2,50
95336,1,5,554,536,1,50
95454,1,5,522,537,2,50
95487,1,5,555,537,1,50
95632,1,5,554,538,3,50
95744,1,5,521,539,1,50
95895,1,5,530,540,1,50
96623,1,5,583,545,1,50
96878,1,5,580,547,2,50
97291,1,5,493,551,1,50
97730,1,5,567,554,2,50
98219,1,5,590,558,1,50
99319,1,5,524,569,2,50
99783,1,5,555,574,1,50
634,2,6,176,114,1,50
1098,2,6,207,120,2,50
2146,2,6,192,134,3,50
2263,2,6,191,136,1,50
3636,2,6,194,165,1,50
3908,2,6,207,170,1,50
4368,2,6,202,179,2,50
4862,2,6,183,189,3,50
5229,2,6,184,195,1,50
5368,2,6,174,197,1,50
5882,2,6,183,203,1,50
5987,2,6,200,204,2,50
5988,2,6,201,204,2,50
7090,2,6,204,217,2,50
7504,2,6,192,222,1,50
7511,2,6,199,222,1,50
7600,2,6,200,223,1,50
7698,2,6,208,224,1,50
7848,2,6,177,226,2,50
7873,2,6,202,226,1,50
7885,2,6,214,226,1,50
7939,2,6,178,227,1,50
7942,2,6,181,227,2,50
8065,2,6,215,228,1,50
8121,2,6,184,229,2,50
8202,2,6,178,230,1,50
8460,2,6,185,233,1,50
8470,2,6,195,233,1,50
8573,2,6,216,234,1,50
8652,2,6,215,235,1,50
8698,2,6,182,236,1,50
8958,2,6,204,239,2,50
10682,2,6,183,258,1,50
10879,2,6,174,260,1,50
11511,2,6,172,266,1,50
11989,2,6,215,270,3,50
12216,2,6,226,272,4,50
12626,2,6,211,276,1,50
13415,2,6,207,284,1,50
13716,2,6,234,287,1,50
13797,2,6,225,288,1,50
13893,2,6,232,289,1,50
13975,2,6,234,290,3,50
14235,2,6,230,296,4,50
15375,2,7,792,407,1,50
15443,2,7,794,408,1,50
16032,2,7,764,418,1,50
16253,2,7,746,422,1,50
16525,2,7,750,426,1,50
16530,2,7,755,426,4,50
16590,2,7,744,427,1,50
16870,2,7,736,431,1,50
17088,2,7,737,434,1,50
17091,2,7,740,434,2,50
17124,2,7,773,434,1,50
17237,2,7,736,436,2,50
17755,2,7,738,442,2,50
18654,2,7,787,451,2,50
19011,2,7,752,454,1,50
19243,2,7,674,456,1,50
19548,2,7,678,458,2,50
20081,2,7,670,462,4,50
20326,2,7,830,463,1,50
20585,2,7,834,465,1,50
20650,2,7,772,466,1,50
21907,2,7,779,476,3,50
22497,2,7,836,480,1,50
22902,2,7,817,483,2,50
23211,2,7,828,485,2,50
23363,2,7,827,486,4,50
23367,2,7,831,486,2,50
23515,2,7,822,487,1,50
23525,2,7,832,487,2,50
23891,2,7,674,490,1,50
23953,2,7,773,490,1,50
24122,2,7,773,491,3,50
24322,2,7,803,492,2,50
24800,2,7,768,495,1,50
24805,2,7,773,495,1,50
25205,2,7,810,497,1,50
25746,2,7,805,500,1,50
26274,2,7,805,503,1,50
26283,2,7,814,503,1,50
26618,2,7,813,505,4,50
28255,2,7,762,522,1,50
28492,2,7,760,530,1,50
28557,2,7,761,534,1,50
28936,2,3,753,238,1,50
28971,2,3,749,239,1,50
29507,2,3,771,249,2,50
29949,2,3,755,256,2,50
30009,2,3,743,257,1,50
30411,2,3,754,262,1,50
30912,2,3,847,266,2,50
31935,2,3,853,274,3,50
32137,2,3,795,276,1,50
32437,2,3,833,278,1,50
32688,2,3,820,280,1,50
33835,2,3,856,288,1,50
34316,2,3,753,292,2,50
35753,2,3,857,301,1,50
38118,2,3,848,317,4,50
38409,2,3,846,319,1,50
38821,2,3,824,322,2,50
39016,2,3,733,324,1,50
39110,2,3,827,324,1,50
39131,2,3,848,324,1,50
39321,2,3,762,326,3,50
39385,2,3,826,326,1,50
39393,2,3,834,326,1,50
39451,2,3,765,327,2,50
39540,2,3,854,327,2,50
39659,2,3,755,329,1,50
39852,2,3,843,330,2,50
40048,2,3,831,332,1,50
40156,2,3,837,333,1,50
40325,2,3,805,335,2,50
40376,2,3,856,335,3,50
40466,2,3,848,336,1,50
40758,2,3,851,339,3,50
41143,2,3,857,343,1,50
41219,2,3,839,344,1,50
42291,2,3,795,356,1,50
42678,2,3,806,363,3,50
43790,2,1,180,333,1,50
44399,2,1,180,341,1,50
44401,2,1,182,341,1,50
44475,2,1,159,342,1,50
44580,2,1,163,343,1,50
44893,2,1,163,346,2,50
45376,2,1,268,350,1,50
45418,2,1,160,351,3,50
45803,2,1,267,354,2,50
45997,2,1,222,356,1,50
46008,2,1,233,356,1,50
46488,2,1,185,360,1,50
46688,2,1,272,361,2,50
47190,2,1,191,365,1,50
47377,2,1,226,366,3,50
47416,2,1,265,366,1,50
47498,2,1,192,367,1,50
47571,2,1,265,367,1,50
47688,2,1,226,368,1,50
47908,2,1,292,369,1,50
48472,2,1,234,373,3,50
48530,2,1,292,373,1,50
49440,2,1,255,379,1,50
51188,2,1,184,392,1,50
51753,2,1,181,398,1,50
52253,2,1,172,404,2,50
52611,2,1,211,408,1,50
52626,2,1,226,408,1,50
53891,2,1,264,424,1,50
54433,2,1,265,430,3,50
54530,2,1,280,431,2,50
54973,2,1,241,438,1,50
54976,2,1,244,438,3,50
54977,2,1,245,438,1,50
55029,2,1,250,439,4,50
55221,2,1,246,444,3,50
55269,2,1,250,445,3,50
55320,2,1,251,446,2,50
55369,2,1,250,447,1,50
55659,2,1,211,454,2,50
55820,2,1,233,457,1,50
56174,2,1,253,463,1,50
56334,2,1,240,466,3,50
56595,2,1,244,472,1,50
57902,2,4,676,341,2,50
57903,2,4,677,341,1,50
58027,2,4,675,343,1,50
58329,2,4,704,347,1,50
58399,2,4,699,348,3,50
58667,2,4,708,351,2,50
58733,2,4,679,352,1,50
59055,2,4,692,355,1,50
59396,2,4,673,358,1,50
59431,2,4,708,358,2,50
59532,2,4,671,359,1,50
59574,2,4,713,359,2,50
61809,2,4,712,374,2,50
63346,2,4,592,385,1,50
65016,2,4,685,396,1,50
65397,2,4,692,399,2,50
65611,2,4,664,401,1,50
65759,2,4,694,402,1,50
66394,2,4,659,408,1,50
66414,2,4,679,408,2,50
66848,2,4,681,412,3,50
66910,2,4,634,413,1,50
66951,2,4,675,413,3,50
66952,2,4,676,413,2,50
67191,2,4,697,415,1,50
67234,2,4,632,416,1,50
67299,2,4,697,416,2,50
67506,2,4,681,418,1,50
67848,2,4,679,421,1,50
67855,2,4,686,421,1,50
67913,2,4,625,422,1,50
68486,2,4,686,426,1,50
68493,2,4,693,426,1,50
69467,2,4,582,434,1,50
70595,2,4,617,443,1,50
70801,2,4,605,445,1,50
70839,2,4,643,445,1,50
71012,2,4,622,447,1,50
74274,2,2,585,289,1,50
75150,2,2,683,296,3,50
75440,2,2,543,299,1,50
75520,2,2,676,299,2,50
75934,2,2,551,303,1,50
76466,2,2,525,308,3,50
76696,2,2,529,310,1,50
76810,2,2,529,311,1,50
